feature,importance,group
Exp_654,0.0015351606,expression
Exp_308,0.0015349952,expression
Exp_160,0.0015304475,expression
Exp_76,0.0015224903,expression
Exp_456,0.0015211643,expression
Exp_630,0.0015149472,expression
Exp_195,0.0015117658,expression
Exp_220,0.0015096879,expression
Exp_635,0.0015046803,expression
Exp_222,0.0015041316,expression
Exp_3,0.001495715,expression
Exp_499,0.001490383,expression
Exp_118,0.0014809113,expression
Exp_59,0.0014705269,expression
Exp_766,0.0014688174,expression
Exp_273,0.0014681296,expression
Exp_90,0.0014679574,expression
Exp_414,0.0014676818,expression
Exp_659,0.0014660052,expression
Exp_312,0.0014642914,expression
Exp_433,0.0014614494,expression
Exp_398,0.0014554466,expression
Exp_85,0.001455242,expression
Exp_225,0.0014551544,expression
Exp_557,0.0014527136,expression
Exp_373,0.0014418666,expression
Exp_418,0.0014339046,expression
Exp_161,0.0014334123,expression
Exp_165,0.0014332465,expression
Exp_749,0.0014296056,expression
Exp_250,0.0014254247,expression
Exp_136,0.0014224423,expression
Exp_320,0.0014196773,expression
Exp_12,0.0014144472,expression
Exp_328,0.0014116815,expression
Exp_493,0.001411635,expression
Exp_472,0.0014081973,expression
Exp_287,0.0014080938,expression
Exp_155,0.0014041864,expression
Exp_543,0.0014033873,expression
Exp_674,0.0014000764,expression
Exp_186,0.0013953464,expression
Exp_69,0.0013942675,expression
Exp_586,0.0013881165,expression
Exp_330,0.0013872328,expression
Exp_184,0.0013825088,expression
Exp_515,0.001376269,expression
Exp_471,0.0013736312,expression
Exp_530,0.0013729376,expression
Exp_132,0.0013646139,expression
Exp_8,0.001364283,expression
Exp_745,0.0013600519,expression
Exp_68,0.0013598584,expression
Exp_54,0.0013570356,expression
Exp_750,0.0013549353,expression
Exp_254,0.001351948,expression
Exp_122,0.0013472349,expression
Exp_658,0.0013428581,expression
Exp_239,0.0013413565,expression
Exp_432,0.0013382422,expression
Exp_131,0.0013366499,expression
Exp_563,0.0013358077,expression
Exp_690,0.0013305689,expression
Exp_694,0.001325638,expression
Exp_125,0.0013154907,expression
Exp_700,0.0013125225,expression
Exp_172,0.0013068877,expression
Exp_640,0.0013067792,expression
Exp_120,0.001299146,expression
Exp_643,0.0012989669,expression
Exp_438,0.0012986888,expression
Exp_315,0.0012942575,expression
Exp_785,0.0012935774,expression
Exp_508,0.0012924443,expression
Exp_569,0.0012882393,expression
Exp_697,0.0012839542,expression
Exp_17,0.0012764167,expression
Exp_706,0.0012754566,expression
Exp_13,0.0012754517,expression
Exp_123,0.0012752021,expression
Exp_30,0.0012749082,expression
Exp_201,0.0012713127,expression
Exp_41,0.0012697581,expression
Exp_622,0.0012694664,expression
Exp_426,0.0012634252,expression
Exp_339,0.0012581669,expression
Exp_535,0.0012572546,expression
Exp_480,0.0012565912,expression
Exp_255,0.0012516346,expression
Exp_70,0.0012456884,expression
Exp_305,0.0012445481,expression
Exp_137,0.0012435494,expression
Exp_324,0.001236251,expression
Exp_425,0.0012356866,expression
Exp_507,0.001234299,expression
Exp_463,0.0012329224,expression
Exp_715,0.0012317612,expression
Exp_473,0.0012304671,expression
Exp_163,0.0012291556,expression
Exp_442,0.0012287316,expression
Exp_591,0.0012213878,expression
Exp_714,0.0012181089,expression
Exp_514,0.0012168707,expression
Exp_84,0.0012135396,expression
Exp_349,0.0012125962,expression
Exp_157,0.0012059143,expression
Exp_427,0.0012033918,expression
Exp_567,0.0012021336,expression
Exp_58,0.0012000573,expression
Exp_740,0.0011995477,expression
Exp_582,0.0011946405,expression
Exp_776,0.0011942044,expression
Exp_261,0.0011937319,expression
Exp_218,0.0011927807,expression
Exp_34,0.0011927371,expression
Exp_134,0.0011910578,expression
Exp_121,0.0011876143,expression
Exp_577,0.0011867463,expression
Exp_108,0.0011835743,expression
Exp_241,0.001180001,expression
Exp_164,0.0011751638,expression
Exp_752,0.0011737508,expression
Exp_367,0.0011693541,expression
Exp_356,0.0011690556,expression
Exp_381,0.0011668559,expression
Exp_20,0.0011663755,expression
Exp_110,0.0011593644,expression
Exp_519,0.0011575042,expression
Exp_277,0.0011567511,expression
Exp_234,0.0011562557,expression
Exp_406,0.00115338,expression
Exp_396,0.0011468526,expression
Exp_384,0.0011455005,expression
Exp_173,0.0011428102,expression
Exp_102,0.0011424648,expression
Exp_689,0.0011419519,expression
Exp_551,0.0011406188,expression
Exp_301,0.0011394102,expression
Exp_269,0.0011354778,expression
Exp_144,0.0011335914,expression
Exp_717,0.0011328226,expression
Exp_583,0.0011320334,expression
Exp_246,0.0011281105,expression
Exp_262,0.00112403,expression
Exp_332,0.0011236095,expression
